,Perc_probability,worry,flood_experience,perc_damage,self_efficacy_DP,self_efficacy_WP,resp_efficacy_DP,resp_efficacy_WP,perc_cost_DP,perc_cost_WP,implemented_DP,implemented_WP,perc_risk
169,0.1,0.25,1,0.5,0.0,0.0,0.16666666666666669,0.5,0.75,0.8333333333333333,0.0,0.0,0.05
171,0.001,0.0,0,0.75,0.5,0.33333333333333337,0.25,0.33333333333333337,0.5,0.9166666666666667,0.0,0.0,0.00075
172,0.001,0.0,1,0.0,0.0,0.0,0.6666666666666666,0.41666666666666663,0.75,0.9166666666666667,0.0,0.0,0.0
173,0.1,0.25,0,0.0,0.0,0.0,0.25,0.5,0.5833333333333334,0.75,0.0,0.0,0.0
176,0.0,0.0,0,0.25,0.5833333333333334,0.25,0.5833333333333334,0.41666666666666663,0.41666666666666663,0.8333333333333333,0.0,0.0,0.0
177,0.0,0.0,0,0.0,0.5833333333333334,0.33333333333333337,0.41666666666666663,0.33333333333333337,1.0,0.9166666666666667,0.0,0.0,0.0
178,0.0,0.0,0,0.0,0.0,0.0,0.6666666666666666,0.75,0.8333333333333333,1.0,0.0,0.0,0.0
180,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0
181,0.0,0.0,0,0.0,0.0,0.33333333333333337,0.41666666666666663,0.5,0.75,0.75,0.0,1.0,0.0
183,0.0,0.25,1,0.75,0.6666666666666666,0.5,0.75,0.5,0.75,0.5833333333333334,0.0,0.0,0.0
185,0.0,0.0,0,0.0,1.0,0.75,1.0,1.0,0.75,0.75,0.0,0.0,0.0
187,0.02,0.25,1,0.75,0.08333333333333331,0.41666666666666663,0.9166666666666667,0.5833333333333334,0.75,0.6666666666666666,0.0,0.0,0.015
188,0.0,0.0,0,0.0,0.5833333333333334,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0
191,0.001,0.0,0,0.25,0.25,0.33333333333333337,0.75,0.5833333333333334,0.75,0.75,0.0,0.0,0.00025
192,0.005,0.5,1,0.5,0.41666666666666663,0.41666666666666663,0.5833333333333334,0.33333333333333337,0.33333333333333337,0.25,0.0,0.0,0.0025
195,0.0,0.0,0,0.75,0.0,0.33333333333333337,0.5,0.33333333333333337,0.75,0.6666666666666666,0.0,0.0,0.0
196,0.0,0.0,1,0.0,1.0,0.0,0.16666666666666669,0.08333333333333331,0.5,0.8333333333333333,0.0,0.0,0.0
199,0.001,0.25,0,0.0,0.5833333333333334,0.5,0.33333333333333337,0.5,0.5833333333333334,0.8333333333333333,0.0,0.0,0.0
200,0.0,0.0,1,0.0,0.25,0.16666666666666669,0.0,0.0,0.5,0.8333333333333333,0.0,0.0,0.0
201,0.001,0.0,0,0.5,0.25,0.25,0.33333333333333337,0.41666666666666663,0.5,0.6666666666666666,0.0,0.0,0.0005
203,0.0,0.25,0,0.0,0.33333333333333337,0.16666666666666669,0.9166666666666667,0.6666666666666666,1.0,1.0,0.0,1.0,0.0
204,0.001,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,0.0,0.0
205,0.005,0.25,0,0.75,0.08333333333333331,0.08333333333333331,0.41666666666666663,0.5833333333333334,0.9166666666666667,0.9166666666666667,0.0,0.0,0.00375
207,0.001,0.25,1,0.25,0.6666666666666666,0.33333333333333337,0.5,0.8333333333333333,0.8333333333333333,0.75,0.0,0.0,0.00025
210,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
211,0.0,0.0,0,0.0,0.75,0.75,0.75,0.9166666666666667,1.0,0.75,0.0,0.0,0.0
213,0.0,0.0,0,0.75,0.25,0.33333333333333337,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0
216,0.0,0.0,0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
218,0.0,0.0,0,1.0,0.0,0.0,0.08333333333333331,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
219,0.001,0.25,1,0.0,0.33333333333333337,0.25,0.33333333333333337,0.5833333333333334,0.41666666666666663,0.75,0.0,0.0,0.0
221,0.0,0.0,0,0.0,0.5833333333333334,1.0,0.9166666666666667,0.8333333333333333,0.6666666666666666,0.41666666666666663,0.0,0.0,0.0
222,0.001,0.0,0,1.0,0.5,0.5,0.5,0.5,0.5833333333333334,0.8333333333333333,0.0,0.0,0.001
223,0.1,0.5,0,0.75,0.0,0.0,0.75,0.5833333333333334,0.75,0.9166666666666667,0.0,0.0,0.07500000000000001
224,0.001,1.0,1,0.75,0.6666666666666666,0.75,0.5,0.41666666666666663,0.5833333333333334,0.6666666666666666,0.0,0.0,0.00075
226,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
229,0.0,0.0,0,0.25,0.0,0.0,0.5,0.6666666666666666,0.5,0.5833333333333334,0.0,0.0,0.0
232,0.001,0.0,0,0.25,0.5833333333333334,0.5,0.41666666666666663,0.75,0.41666666666666663,0.6666666666666666,0.0,0.0,0.00025
233,0.02,0.25,0,0.25,0.33333333333333337,0.25,0.16666666666666669,0.16666666666666669,0.5833333333333334,0.8333333333333333,0.0,0.0,0.005
237,0.001,0.25,1,0.0,0.25,0.0,1.0,0.5833333333333334,0.75,1.0,0.0,0.0,0.0
238,0.0,0.0,0,0.0,0.0,0.0,0.33333333333333337,0.0,0.6666666666666666,0.75,0.0,0.0,0.0
242,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
243,0.0,0.0,0,0.0,0.41666666666666663,0.25,0.5833333333333334,0.8333333333333333,0.5833333333333334,0.9166666666666667,0.0,0.0,0.0
244,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0
245,0.0,0.0,0,0.25,0.25,0.41666666666666663,0.33333333333333337,0.6666666666666666,0.5,0.8333333333333333,0.0,0.0,0.0
246,0.001,0.0,0,0.0,1.0,1.0,0.25,0.25,0.5,0.9166666666666667,0.0,0.0,0.0
247,0.01,0.0,0,1.0,0.0,0.5,0.16666666666666669,0.5,0.6666666666666666,0.75,0.0,0.0,0.01
252,0.02,0.0,1,0.0,0.0,0.0,0.16666666666666669,0.0,0.6666666666666666,0.9166666666666667,0.0,0.0,0.0
253,0.001,0.0,0,0.25,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.00025
255,0.0,0.0,0,0.75,0.5,0.25,0.16666666666666669,0.0,0.75,0.8333333333333333,0.0,0.0,0.0
256,0.005,0.0,0,0.0,0.25,0.0,0.0,0.0,0.33333333333333337,0.5833333333333334,0.0,0.0,0.0
263,0.0,0.0,0,0.0,0.0,0.0,0.75,0.5,0.9166666666666667,0.8333333333333333,0.0,0.0,0.0
265,0.0,0.0,0,0.0,0.0,0.0,0.5,0.41666666666666663,1.0,1.0,0.0,0.0,0.0
266,0.001,0.25,0,0.25,0.0,0.0,0.41666666666666663,0.5,1.0,1.0,0.0,0.0,0.00025
267,0.0,0.0,0,0.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.75,0.0,0.0,0.0
268,0.0,0.5,0,0.75,0.5,0.41666666666666663,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5,1.0,1.0,0.0
270,0.005,0.25,0,0.5,0.0,0.0,0.33333333333333337,0.41666666666666663,0.5,0.6666666666666666,0.0,0.0,0.0025
271,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.41666666666666663,0.75,0.0,0.0,0.0
272,0.01,0.25,0,0.25,0.33333333333333337,0.41666666666666663,0.6666666666666666,0.41666666666666663,0.9166666666666667,0.75,0.0,0.0,0.0025
274,0.0,0.0,0,0.75,0.0,0.0,0.33333333333333337,0.25,0.6666666666666666,1.0,0.0,0.0,0.0
275,0.001,0.0,0,0.0,0.25,0.0,0.16666666666666669,0.33333333333333337,0.41666666666666663,0.6666666666666666,0.0,0.0,0.0
